estado;ibgeID;competencia;Codigo;Descrição;Existente;Sus;NaoSus
27;270030;202003;74;UTI ADULTO - TIPO I;9;0;9
27;270030;202003;75;UTI ADULTO - TIPO II;35;33;2
27;270030;202003;76;UTI ADULTO - TIPO III;20;20;0
27;270030;202003;78;UTI PEDIATRICA - TIPO II;10;10;0
27;270030;202003;81;UTI NEONATAL - TIPO II;10;10;0
27;270030;202003;86;UTI CORONARIANA TIPO III - UCO TIPO III;10;10;0
27;270030;202003;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;14;14;0
27;270030;202003;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;10;10;0
27;270030;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270030;202003;10;OBSTETRICIA CIRURGICA;77;67;10
27;270030;202003;43;OBSTETRICIA CLINICA;17;0;17
27;270030;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270030;202003;45;PEDIATRIA CLINICA;120;42;78
27;270030;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
27;270030;202003;47;PSIQUIATRIA;120;104;16
27;270030;202003;HOSPITAL DIA;HOSPITAL DIA;HOSPITAL DIA;NA;NA
27;270030;202003;07;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;5;0;5
27;270100;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270100;202003;33;CLINICA GERAL;7;7;0
27;270100;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270100;202003;43;OBSTETRICIA CLINICA;4;4;0
27;270100;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270100;202003;45;PEDIATRIA CLINICA;3;3;0
27;270300;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270300;202003;43;OBSTETRICIA CLINICA;3;3;0
27;270430;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270430;202003;01;BUCO MAXILO FACIAL;19;15;4
27;270430;202003;02;CARDIOLOGIA;49;18;31
27;270430;202003;03;CIRURGIA GERAL;224;146;78
27;270430;202003;04;ENDOCRINOLOGIA;8;3;5
27;270430;202003;05;GASTROENTEROLOGIA;8;3;5
27;270430;202003;06;GINECOLOGIA;44;32;12
27;270430;202003;08;NEFROLOGIAUROLOGIA;34;21;13
27;270430;202003;09;NEUROCIRURGIA;45;29;16
27;270430;202003;11;OFTALMOLOGIA;53;34;19
27;270430;202003;12;ONCOLOGIA;61;31;30
27;270430;202003;13;ORTOPEDIATRAUMATOLOGIA;160;139;21
27;270430;202003;14;OTORRINOLARINGOLOGIA;24;12;12
27;270430;202003;15;PLASTICA;34;16;18
27;270430;202003;16;TORACICA;10;4;6
27;270430;202003;67;TRANSPLANTE;8;6;2
27;270430;202003;90;QUEIMADO ADULTO;10;10;0
27;270430;202003;91;QUEIMADO PEDIATRICO;6;6;0
27;270430;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270430;202003;31;AIDS;20;20;0
27;270430;202003;32;CARDIOLOGIA;107;43;64
27;270430;202003;33;CLINICA GERAL;467;379;88
27;270430;202003;35;DERMATOLOGIA;2;1;1
27;270430;202003;36;GERIATRIA;30;3;27
27;270430;202003;38;HEMATOLOGIA;19;12;7
27;270430;202003;40;NEFROUROLOGIA;41;27;14
27;270430;202003;41;NEONATOLOGIA;13;10;3
27;270430;202003;42;NEUROLOGIA;55;42;13
27;270430;202003;44;ONCOLOGIA;97;51;46
27;270430;202003;46;PNEUMOLOGIA;18;14;4
27;270430;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
27;270430;202003;51;UTI II ADULTO - COVID-19;93;0;93
27;270430;202003;52;UTI II PEDIATRICA - COVID-19;5;0;5
27;270430;202003;66;UNIDADE ISOLAMENTO;19;12;7
27;270430;202003;74;UTI ADULTO - TIPO I;42;22;20
27;270430;202003;75;UTI ADULTO - TIPO II;118;66;52
27;270430;202003;76;UTI ADULTO - TIPO III;11;0;11
27;270430;202003;77;UTI PEDIATRICA - TIPO I;4;0;4
27;270430;202003;78;UTI PEDIATRICA - TIPO II;29;22;7
27;270430;202003;79;UTI PEDIATRICA - TIPO III;4;0;4
27;270430;202003;80;UTI NEONATAL - TIPO I;10;0;10
27;270430;202003;81;UTI NEONATAL - TIPO II;68;39;29
27;270430;202003;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;111;85;26
27;270430;202003;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;19;0;19
27;270430;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270430;202003;10;OBSTETRICIA CIRURGICA;208;161;47
27;270430;202003;43;OBSTETRICIA CLINICA;174;144;30
27;270430;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270430;202003;45;PEDIATRIA CLINICA;227;182;45
27;270430;202003;68;PEDIATRIA CIRURGICA;56;37;19
27;270430;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
27;270430;202003;34;CRONICOS;12;11;1
27;270430;202003;47;PSIQUIATRIA;560;480;80
27;270430;202003;48;REABILITACAO;3;0;3
27;270430;202003;49;PNEUMOLOGIA SANITARIA;19;19;0
27;270430;202003;84;ACOLHIMENTO NOTURNO;8;8;0
27;270430;202003;HOSPITAL DIA;HOSPITAL DIA;HOSPITAL DIA;NA;NA
27;270430;202003;07;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;23;4;19
27;270430;202003;69;AIDS;6;4;2
27;270430;202003;73;SAUDE MENTAL;1;0;1
27;270550;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270550;202003;03;CIRURGIA GERAL;15;15;0
27;270550;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270550;202003;33;CLINICA GERAL;17;17;0
27;270550;202003;87;SAUDE MENTAL;9;9;0
27;270550;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270550;202003;43;OBSTETRICIA CLINICA;5;5;0
27;270550;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270550;202003;45;PEDIATRIA CLINICA;7;7;0
27;270630;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270630;202003;03;CIRURGIA GERAL;25;22;3
27;270630;202003;06;GINECOLOGIA;2;2;0
27;270630;202003;08;NEFROLOGIAUROLOGIA;2;2;0
27;270630;202003;11;OFTALMOLOGIA;2;2;0
27;270630;202003;13;ORTOPEDIATRAUMATOLOGIA;4;4;0
27;270630;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270630;202003;32;CARDIOLOGIA;3;2;1
27;270630;202003;33;CLINICA GERAL;40;37;3
27;270630;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
27;270630;202003;66;UNIDADE ISOLAMENTO;1;1;0
27;270630;202003;75;UTI ADULTO - TIPO II;8;8;0
27;270630;202003;81;UTI NEONATAL - TIPO II;8;8;0
27;270630;202003;94;UNIDADE DE CUIDADOS INTERMEDIARIOS PEDIATRICO;2;2;0
27;270630;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270630;202003;10;OBSTETRICIA CIRURGICA;31;24;7
27;270630;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270630;202003;45;PEDIATRIA CLINICA;17;15;2
27;270690;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270690;202003;03;CIRURGIA GERAL;18;18;0
27;270690;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270690;202003;33;CLINICA GERAL;12;12;0
27;270690;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270690;202003;10;OBSTETRICIA CIRURGICA;1;1;0
27;270690;202003;43;OBSTETRICIA CLINICA;6;6;0
27;270690;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270690;202003;45;PEDIATRIA CLINICA;6;6;0
27;270770;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270770;202003;03;CIRURGIA GERAL;5;5;0
27;270770;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270770;202003;33;CLINICA GERAL;14;14;0
27;270770;202003;87;SAUDE MENTAL;6;6;0
27;270770;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
27;270770;202003;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;8;8;0
27;270770;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270770;202003;10;OBSTETRICIA CIRURGICA;5;5;0
27;270770;202003;43;OBSTETRICIA CLINICA;6;6;0
27;270770;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270770;202003;45;PEDIATRIA CLINICA;5;5;0
27;270770;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
27;270770;202003;47;PSIQUIATRIA;16;0;16
27;270770;202003;HOSPITAL DIA;HOSPITAL DIA;HOSPITAL DIA;NA;NA
27;270770;202003;73;SAUDE MENTAL;24;0;24
27;270930;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270930;202003;03;CIRURGIA GERAL;14;14;0
27;270930;202003;11;OFTALMOLOGIA;2;2;0
27;270930;202003;13;ORTOPEDIATRAUMATOLOGIA;4;4;0
27;270930;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270930;202003;33;CLINICA GERAL;15;11;4
27;270930;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270930;202003;10;OBSTETRICIA CIRURGICA;6;6;0
27;270930;202003;43;OBSTETRICIA CLINICA;16;16;0
27;270930;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270930;202003;45;PEDIATRIA CLINICA;6;6;0
27;270940;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
27;270940;202003;03;CIRURGIA GERAL;5;5;0
27;270940;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
27;270940;202003;33;CLINICA GERAL;20;20;0
27;270940;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
27;270940;202003;10;OBSTETRICIA CIRURGICA;1;1;0
27;270940;202003;43;OBSTETRICIA CLINICA;4;4;0
27;270940;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
27;270940;202003;45;PEDIATRIA CLINICA;10;10;0
13;130008;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130008;202003;03;CIRURGIA GERAL;6;6;0
13;130008;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130008;202003;33;CLINICA GERAL;6;6;0
13;130008;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130008;202003;10;OBSTETRICIA CIRURGICA;4;4;0
13;130008;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130008;202003;45;PEDIATRIA CLINICA;4;4;0
13;130010;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130010;202003;03;CIRURGIA GERAL;5;5;0
13;130010;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130010;202003;33;CLINICA GERAL;6;6;0
13;130010;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130010;202003;43;OBSTETRICIA CLINICA;6;6;0
13;130010;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130010;202003;45;PEDIATRIA CLINICA;6;6;0
13;130030;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130030;202003;03;CIRURGIA GERAL;3;3;0
13;130030;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130030;202003;33;CLINICA GERAL;12;12;0
13;130030;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
13;130030;202003;66;UNIDADE ISOLAMENTO;2;2;0
13;130030;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130030;202003;10;OBSTETRICIA CIRURGICA;2;2;0
13;130030;202003;43;OBSTETRICIA CLINICA;6;6;0
13;130030;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130030;202003;45;PEDIATRIA CLINICA;8;8;0
13;130090;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130090;202003;06;GINECOLOGIA;2;2;0
13;130090;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130090;202003;33;CLINICA GERAL;7;7;0
13;130090;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130090;202003;10;OBSTETRICIA CIRURGICA;1;1;0
13;130090;202003;43;OBSTETRICIA CLINICA;2;2;0
13;130090;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130090;202003;45;PEDIATRIA CLINICA;4;4;0
13;130100;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130100;202003;03;CIRURGIA GERAL;6;6;0
13;130100;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130100;202003;33;CLINICA GERAL;22;22;0
13;130100;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130100;202003;10;OBSTETRICIA CIRURGICA;2;2;0
13;130100;202003;43;OBSTETRICIA CLINICA;10;10;0
13;130100;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130100;202003;45;PEDIATRIA CLINICA;10;10;0
13;130110;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130110;202003;03;CIRURGIA GERAL;4;4;0
13;130110;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130110;202003;33;CLINICA GERAL;6;6;0
13;130110;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130110;202003;10;OBSTETRICIA CIRURGICA;2;2;0
13;130110;202003;43;OBSTETRICIA CLINICA;3;3;0
13;130110;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130110;202003;45;PEDIATRIA CLINICA;5;5;0
13;130120;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130120;202003;03;CIRURGIA GERAL;10;10;0
13;130120;202003;13;ORTOPEDIATRAUMATOLOGIA;5;5;0
13;130120;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130120;202003;33;CLINICA GERAL;24;24;0
13;130120;202003;41;NEONATOLOGIA;7;7;0
13;130120;202003;87;SAUDE MENTAL;4;0;4
13;130120;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
13;130120;202003;66;UNIDADE ISOLAMENTO;3;3;0
13;130120;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130120;202003;10;OBSTETRICIA CIRURGICA;15;15;0
13;130120;202003;43;OBSTETRICIA CLINICA;15;15;0
13;130120;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130120;202003;45;PEDIATRIA CLINICA;25;25;0
13;130185;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130185;202003;03;CIRURGIA GERAL;15;15;0
13;130185;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130185;202003;33;CLINICA GERAL;7;7;0
13;130185;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130185;202003;43;OBSTETRICIA CLINICA;6;6;0
13;130185;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130185;202003;45;PEDIATRIA CLINICA;4;4;0
13;130190;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130190;202003;03;CIRURGIA GERAL;20;20;0
13;130190;202003;13;ORTOPEDIATRAUMATOLOGIA;5;5;0
13;130190;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130190;202003;33;CLINICA GERAL;36;36;0
13;130190;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130190;202003;10;OBSTETRICIA CIRURGICA;5;5;0
13;130190;202003;43;OBSTETRICIA CLINICA;20;20;0
13;130190;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130190;202003;45;PEDIATRIA CLINICA;20;20;0
13;130190;202003;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;OUTRAS ESPECIALIDADES;NA;NA
13;130190;202003;47;PSIQUIATRIA;2;2;0
13;130220;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130220;202003;03;CIRURGIA GERAL;3;3;0
13;130220;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130220;202003;33;CLINICA GERAL;7;7;0
13;130220;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130220;202003;43;OBSTETRICIA CLINICA;3;3;0
13;130220;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130220;202003;45;PEDIATRIA CLINICA;7;7;0
13;130230;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130230;202003;03;CIRURGIA GERAL;2;2;0
13;130230;202003;CLÍNICO;CLÍNICO;CLÍNICO;NA;NA
13;130230;202003;33;CLINICA GERAL;8;8;0
13;130230;202003;COMPLEMENTAR;COMPLEMENTAR;COMPLEMENTAR;NA;NA
13;130230;202003;66;UNIDADE ISOLAMENTO;2;2;0
13;130230;202003;OBSTÉTRICO;OBSTÉTRICO;OBSTÉTRICO;NA;NA
13;130230;202003;43;OBSTETRICIA CLINICA;4;4;0
13;130230;202003;PEDIATRICO;PEDIATRICO;PEDIATRICO;NA;NA
13;130230;202003;45;PEDIATRIA CLINICA;4;4;0
13;130240;202003;CIRÚRGICO;CIRÚRGICO;CIRÚRGICO;NA;NA
13;130240;202003;03;CIRURGIA GERAL;8;8;0
13;130240;202003;06;GINECOLOGIA;4;4;0
